name,kind,az_deg,n_cross_axis_full,n_cross_axis_gate,n_cross_col_full,n_cross_col_gate,n_cross_col_gate_wt,n_cross_paper,n_grain_axis,n_grain_col_gate,chord_axis_mm,path_axis_mm,t_axis_us,c_axis_ms,c_vol_ms,c_slow_ms,v_sd_ms,cos2_beam,cos2_beam_col,a1_col,a3_col,skew_deg,skew_p90_deg,dv_all_rms,dv_all_mean,dv_all_p90,dv_cross_rms,dv_cross_mean,misor_cross_deg,normal_align,facing_frac_10,facing_frac_20,dark_all_0.001,dark_cross_0.001,dark_all_0.01,dark_cross_0.01,bright_half_area
girdle_s7,girdle,276,11,2,13.09,2.085,2.0549394,57,12,13,8.3316406,99.979687,25.895805,3860.8449,3886.4175,3884.9094,76.754924,0.57421964,0.6883448,0.70818292,0.069743264,4.5913852,6.954174,0.013933825,0.011673949,0.022584868,0.01129834,0.0080127863,63.085264,0.58204061,0.010194197,0.081701185,0.043688362,0.14388489,0.4650768,0.66666667,0.21901102
girdle_s7,girdle,282,10,3,10.21,2.045,2.0590688,59,11,11,9.078125,99.859375,25.756481,3877.0582,3879.9065,3878.4525,75.373704,0.55982992,0.70672934,0.73971994,0.065367297,4.5410784,6.9446161,0.01360385,0.011244369,0.022308609,0.010188844,0.0073103328,62.34836,0.58933209,0.014207297,0.075675077,0.063501084,0.16625917,0.46984916,0.65036675,0.20327414
girdle_s7,girdle,288,12,2,12.555,2.145,2.1769901,55,11,12,9.0890625,99.979687,25.742927,3883.7732,3869.5862,3868.2804,71.431348,0.53479534,0.70033854,0.74307641,0.06147513,4.4744688,6.7740865,0.012802382,0.01046761,0.020789158,0.0094487006,0.007166324,61.025351,0.56831069,0.014631671,0.080589511,0.061776835,0.13519814,0.51212971,0.68065268,0.18227778
girdle_s7,girdle,294,9,2,11.885,2.275,2.3042326,54,10,11,9.9979687,99.979687,25.808924,3873.8418,3856.9676,3855.8791,65.192631,0.50021003,0.69772565,0.77415447,0.060267839,4.3497121,6.9946747,0.011577008,0.0092543227,0.018289047,0.0080656429,0.0064301088,58.810619,0.54857571,0.024608146,0.089926657,0.096017344,0.12527473,0.58939342,0.80659341,0.15917432
girdle_s7,girdle,300,14,2,12.075,2.315,2.289724,55,11,13,9.0890625,99.979687,25.944514,3853.5964,3843.9449,3843.0951,57.542329,0.45758552,0.61798703,0.72953549,0.058790111,4.0841204,7.0130754,0.010090129,0.0078943914,0.01572334,0.0075581827,0.0063237855,59.361547,0.55262387,0.035793164,0.081241755,0.085943079,0.064794816,0.66645971,0.8488121,0.1521334
girdle_s7,girdle,306,44,2,12.07,2.355,2.4114484,64,13,13,7.6907452,99.979687,26.066746,3835.5262,3832.5313,3831.8844,50.119518,0.40878472,0.56346373,0.72953549,0.058790111,3.6668365,6.6565383,0.0086603123,0.0066977212,0.014524509,0.0072052544,0.0059989391,56.757059,0.56160042,0.051864016,0.090273537,0.13128558,0.057324841,0.75406061,0.85987261,0.14079616
girdle_s7,girdle,312,16,5,12.14,2.495,2.4861315,61,13,12,7.6907452,99.979687,26.238116,3810.4751,3824.539,3824.015,44.99911,0.35594046,0.50282104,0.73164449,0.058903998,3.4282817,5.6928069,0.0077042334,0.0058879025,0.013355619,0.0072733652,0.0058230233,55.585843,0.55812635,0.024726233,0.11484386,0.2109922,0.11422846,0.78946538,0.81763527,0.17003183
girdle_s7,girdle,318,8,2,11.12,2.52,2.5027123,57,9,13,11.108854,99.979687,26.261321,3807.108,3821.2482,3820.7624,43.232465,0.30136228,0.45150311,0.74057075,0.050737924,2.8886263,4.1341716,0.0074284802,0.0057460459,0.012902648,0.0078713301,0.0061936033,51.545153,0.56473609,0.038770238,0.1117939,0.17995479,0.1765873,0.78516721,0.74603175,0.1806873
girdle_s7,girdle,324,7,2,9.72,2.37,2.333533,62,8,12,12.497461,99.979687,26.283777,3803.8555,3823.1113,3822.6162,43.606244,0.24743551,0.39262541,0.76866845,0.049598554,2.543621,4.1228923,0.0075741528,0.0060218496,0.013591424,0.0078923083,0.0062706304,50.644258,0.58154272,0.036133585,0.08957332,0.16243554,0.21729958,0.81069607,0.75316456,0.18006735
girdle_s7,girdle,330,9,2,10.255,2.355,2.2881639,76,10,12,9.9979687,99.979687,26.264398,3806.662,3829.5961,3829.0958,43.841138,0.19651701,0.31873118,0.76866845,0.049598554,2.658985,4.0303439,0.0076947529,0.0061345997,0.013169619,0.0067824051,0.0053087591,46.656037,0.59917856,0.015402924,0.087191291,0.15568984,0.16772824,0.77243139,0.89171975,0.18219014
